ID,Artist,Album,Media type,Xfer option,Xfer type,Image #,Total CDs,Date received,Customer notes,Private notes,Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Track 9,Track 10,Track 11,Track 12,Track 13,Track 14,Track 15,Track 16,Track 17,Track 18,Track 19,Track 20,Track 21,Track 22,Track 23,Track 24,Track 25,Track 26,Track 27,Track 28
01955-00001,Creston High School A Cappella Choir,"Come, Singing Noel -- Christmas 1967",LP,del,CD,,,12/17/2014,,,"Come, Singing Noel",Deck the Halls,Let Our Gladness Have No End,We Wish You the Merriest,Christmas Time,Carol of the Bells,While By My Sheep,"Dear Santa, Have You Had the Measles?",Do you Hear What I Hear?,Joy to the World,Hodie Christus Natus Est,Jingle Bells,Two Kings,Snow is Falling,Christmas Roundelay,Thirty-Two Feet and Eight Little Tails,Everywhere Christmas Tonight,A-Caroling We Go,Soon It Will Be Christmas Day,Silent Night,,,,,,,,
01900-00001,,Panch & Jay 7/4/99,cass,std,mp3,,,12/17/2014,"Pls start recording 5 seconds before cohost says ""Hey Jay..."" & record for two minutes. It is a demo for a radio station, Thanks. Tape is cued. --Jay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01968-00001,Ken Colyer's Jazzmen,Serenading Auntie,cass,std,CD,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01968-00002,The New Black Eagle Band,In Search of New Orleans,cass,std,CD,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01968-00003,Prof. Plum's Jazz,Jazz at Sea,cass,std,CD,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01968-00004,The Original EastSide Stompers,Going to Town,cass,std,CD,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01968-00005,Golden Eagle Jazz Band,Sunday at the Depot,cass,std,CD,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01968-00006,Steve Lane's Famous Red Hot Peppers featuring Ram Heagren with guests Norman Field & Dave Soby,Live at the Bude Jazz Festival 1993 & 1995,cass,std,CD,,,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01936-00001,,Winter Wonderland: It's Beginning to Look a Lot Like Christmas,cass,del,CD,,4,12/17/2014,,,Winter Wonderland,Let It Snow,Silent Night,Silver Bells,Have Yourself a Merry Little Christmas,Chesnuts Roassting on an Open Fire (The Christmas Song),I'll Be Home for Christmas,Sleigh Ride,Jingle Bells,O Christmas Tree,Toyland/Sleep Well Little Children,White Christmas,The Most Wonderful Day of the Year,We Wish You a Merry Christmas,,,,,,,,,,,,,,
01897-00001,Learn at Home,Ultimate French: Advanced (3),cass,del,mp3,,,12/17/2014,,,Lesson 11 (cont.),Lesson 12 ,Lesson 13,Lesson 13 (cont.),Lesson 14,Lesson 15,,,,,,,,,,,,,,,,,,,,,,
